今天 我国 约 有 万 残疾人 其中 他们 的 世界 或 一片 黑暗 寂静 或 空间 有限 或 异常 孤独 你 的 接纳 尊重 和 关爱 对 他们 至关重要 给 盲道 让 个 道别 紧盯 缺陷 不 占用 残疾人 专座 我们 能为 这万人 做 的 事 今天 为 爱 转发 
了不起 他们 身体 有 缺陷 但 意志 从不 认输 努力 活成 自己 的 冠军 今天 国际 残疾人 日 每个 自强不息 的 人 都 很 了不起 
超越 血缘 的 父爱 父亲 叫 丁金栓 儿子 叫 丁 转成 毫无 血缘关系 的 父子俩 相依为命 近年 在 河南省 洛阳市 嵩县 岁 的 丁转 成因 患 先天性 脊柱 裂 双腿 无力 无法 行走 只能靠 双手 爬行 如今 靠 养鸡 报答 父亲 丁转成 在 接受 央视网 记者 采访 时 表示 因为 有 先天性 脊柱 裂 导致 下肢 细小 无力 被 生身父母 遗弃 是 现在 的 爸爸 把 他 捡回 了 家 因为 在 被 收养 前 已经 被 多家 转来转去 于是 取名 转 成 意思 是 到 这儿 了 就算 成 了 爸爸 身体 不好 上坡 放羊 我 不 放心 在 家养 点儿 鸡 的话 两个 人 还 可以 相互 照顾 年 丁 转成 开始 养鸡 赚 到 钱 后 做 的 第一件 事 就是 给 父亲 盖 了 一栋 新房子 年 在 政府 和 好心人 的 帮助 下 花费 万元 的 新房子 终于 盖起来 了 经过 几年 的 努力 丁转成 和 养父 养 了 多只 鸡 家里 的 日常 开销 都 是 靠 卖 鸡 和 鸡蛋 来 维持 谈起 养父 丁转成 说 养父 把 我 养大 成人 而且 为了 我 一生 未娶 我 一定 要 给 我 这个 爸爸 争口气 希望 能 照顾 他 到 老 希望 他 的 晚年 有人 陪伴 提及 生母 丁转成 说 我 没有 想 过去 找 生身父母 但是 我 依然 感激 他们 我 也 不会 去 记恨 他们 只 希望 他们 过得 快乐 就行了 因为 在 我 的 心里 我 只 想 撑起 这个 家 对 我 的 爸爸 好 一点儿 
看到 讨论区 很多 人 说 发微 博有 什么 用 还 不如 做点 实际 的 虽然 我们 的确 应该 把 说 的 落到实处 但是 不可否认 的 是 这个 话题 真的 很 有用 虽然 大多数 的 我们 都 有 这份 心 也 愿意 去 做 但是 每个 人 的 世界 都 被 各种 事情 占据 着 工作 爱情 亲情 友情 我们 忙忙碌碌 如果 不是 这个 话题 我 想 很多 人 并 不会 将 注意力 过多 放到 这个 事上 这 是 一个 网络 的 时代 我想 这条 话题 的 作用 不光 是 唤醒 忙碌 的 人们 为 那群 更 坚强 的 人 说 一句 祝福 更是 让 哪些 无意间 伤害 了 他们 的 人 意识 到 自己 的 错误 让 那群 可爱 的 人 感受 到 他们 并 不 孤独 有 千百万 人 愿意 做 他们 的 支撑 希望 更 多 的 人用 同样 的 眼光 去 善待 他们 不要 把 他们 区别 起来 他们 和 我们 并 没有 差别 都 有 平常人 的 喜怒哀乐 有 期待 有 失望 好奇心 一点 不比 我们 少 能力 不比 我们 差 甚至 他们 比 我们 更 努力 更 渴望 去 证明 自己 他们 是 灵魂 的 强者 因为 他们 在 坚韧 的 应 对比 常人 困难 太多 的 生活 
趁着 今天 是 国际 残疾人 日 出来 说 几句 之外 其实 最 重要 的 是 完善 无障碍 建设 我 坐 了 五年 轮椅 看过 太 多 形同虚设 的 无障碍 设施 了 比如 很多 公共场所 挂 着 无障碍 厕所 的 牌子 其实 要么 打 不 开门 要么 被 改成 清洁工 储物间 要么 只是 在 普通 的 厕所 的 隔间 加装 一个 扶手 轮椅 根本 进不去 挂 着 无障碍 通道 可是 台阶 高到 轮椅 无法 上去 盲道 随便 装 中间 有 井盖 也 不 做 提醒 最 可笑 的 是 很多 地方 声称 为了 减少 交通事故 在 斑马线 中间 架起 了 栏杆 商场 声称 为了 拦截 电动车 在 门口 和 轮椅 坡道 上立 起 了 石墩 中国 有 万 残疾人 为什么 大家 很少 能 在 路上 看到 我们 因为 要么 出不去 要么 出去 了 回不来 与其 喊 口号式 的 呼吁 残疾人 多 走出 家门 不如 加快 完善 无障碍 建设 无障碍 设施 不 只是 关乎 残疾人 的 事 而是 关乎 每 一个 人 的 事 
我国 目前 有 超过 万 的 听障 人士 他们 的 日常生活 特别 是 紧急 呼救 时 面临 着 极大 阻碍 现在 腾讯 应急 平台 上线 了 一个 专门 针对 听障 人士 的 新 功能 他们 可以 通过 小 程序 向 报警 实时 文字 语音 转译 传送 位置 实现 无障碍 急救 不仅 能 保障 黄金 救援 时间 也 很大 程度 上 缓解 了 听障 人士 呼救 困难 的 问题 都 说 科技 为民 这个 功能 确实 不错 啊 暖 心 又 方便 
对于 国内 残障 通道 和 措施 的 不 完善 其实 我 特别 有 体会 因为 我 的 父亲 在 前年 出 了 一场 车祸 导致 膝关节 的 交叉 韧带 断裂 为了 让 他 能 获得 更好 的 治疗 我 把 他 从 老家 接到 了 我们 医院 手术 从 老家 过来 的 路途 是 艰难 的 一路上 推 着 轮椅 但 有 的 地方 只有 台阶 没有 无障碍 的 通道 比如 升降 电梯 或者 滑坡 之类 父亲 只能 拄着 拐杖 一步 一步 走 楼梯 在 路边 等 出租车 时 也 常有 司机 看见 坐轮椅 而 拒载 很多 路面 也 是 并非 平滑 对于 轮椅 使用者 非常 不 友好 推在 上面 一直 颠簸 也 十分 费力 经常 才 推 一小 段路 背上 已经 因为 吃力 而 汗湿 而 地铁 设计 也 有 问题 一般 地铁 里 都 有 那种 直接 升降 的 电梯 方便 行动 不 方便 的 人士 直接 出入 站 但 问题 出 在 这种 升降 电梯 经常 只有 一个 这 也 意味着 你 明明 想出 站 去 马路 对面 却 被迫 只能 到 另一边 然后 再 弯 一大 圈绕 到 对面 去 也许 普通人 就是 多 走 一段路 但 残障 人士 就 吃力 很多很多 事情 都 是 只有 经历 了 才能 更 明白 其中 的 艰辛 也 更 明白 还有 哪些地方 需要 完善 希望 这个 社会 也 能 多 倾听 他们 的 声音 因为 他们 的 声音 也 应该 被 听见 
这个 社会 中有 很多 残疾 的 朋友 残疾 并 不是 他们 自己 的 错 他们 只是 我们 中 的 不幸者 他们 不 应该 被 我们 轻视 漫待 甚至 避而远之 当 一个 少年 失去 投篮 的 机会 当 一个 美丽 的 姑娘 从小 就 看不到 这个 世界 当 一个 身体 不便 的 小伙 不能 随意 上街 游玩 他们 内心 感到 的 大多 只有 自卑 和 痛苦 我们 应该 成立 许许多多 的 志愿者 爱心 团体 鼓励 大家 时不时 地去 关爱 他们 形成 一种 良好氛围 帮助 他们 找回 对 生活 信心 最 重要 的 一点 也 是 很 现实 的 一点 他们 也 需要 生活 各种 开支 或者 并不比 我们 少 一些 长期 需要 康复 的 朋友 花费 甚至 比 正常人 多 的 多 我们 要 在 基础 生活 保障 上 就业 上 甚至 一些 针对 残疾人 朋友 的 出行 和 活动 基础设施 上 都 要 不断 的 完善 和 加强 只有 各方 面对 他们 友善 了 让 他们 感受 到 温暖 了 他们 的 自信 和 希望 才能 到来 
爱本 无障碍 无光 的 世界 也 可以 安心 出行 无声 的 世界 也 可以 高效 办公 行动不便 的 世界 也 可以 随心 操控 
我们 每 一天 的 行动 都 是 如履平地 我们 看到 的 每 一次 日出 都 是 光线 的 炫丽 我们 可以 尽情 地 呼喊 情绪 我们 也 可以 在 草地 里静 躺 聆听 但 在 这个 世界 里 还有 他们 用 自己 不同 的 方式 感受 着 阳光 的 炙热 声音 的 回响 我们 无法 体会 身处 在 障碍 的 世界 里 是否 漆黑 也 无法 感受 平时 一挥而就 的 事情 对 他们 谈何容易 我们 虽 不能 真正 的 感同身受 但 我们 可以 用 自己 擅长 的 工具 和 方式 做到 体谅 与 关心 所以 我们 创作 了 这 首歌 嘿请 你 爱 我 吧 如果 你 深陷 迷茫 困苦 挫败 孤独 与 落寞 可以 和 我 说说话 或者 让 我 拥抱 你 嘿 就算 再 渺小 的 你 也 有 属于 自己 独一无二 的 美丽 与 骄傲 嘿 你 并 不 孤单 我们 会 一直 都 在 中国残联 中国残疾人福利基金会 中国 残疾人 事业 新闻宣传 促进会 霓虹 花园 乐队 汉堡 黄嘿 请 你 爱 我 吧 公益 歌曲 特别 出演 春游 哥哥 汶川 最美 马拉松 女孩 
刘浩 记录 高三 时隔 年 同一 所 高中 不同 的 故事 同样 的 经常 林玥 欣级 武平 一中 高三 学生 因 出生 时候 缺氧 窒息 造成 脑瘫 不同 的 身体 却 同样 勇敢 追逐 梦想 欢迎 你 和 她 共同 回顾 令人难忘 的 高三 岁月 一起 期待 正片 哦 
